beach_name,water_temperature,air_temperature,turbidity,wave_height,rainfall,ph,dissolved_oxygen,conductivity,bacteria_count,water_quality_status
Silver Shore,22.28,28.56,4.91,0.74,11.14,7.23,8.08,35499.1,123.78,Moderate Risk
North Beach,24.49,33.53,5.33,1.34,7.1,7.71,7.38,49042.05,142.5,Moderate Risk
Coral Point,26.17,32.24,0.49,0.26,10.66,7.65,6.43,50599.33,45.5,Safe
Silver Shore,24.2,27.94,1.81,0.22,1.36,7.72,7.51,36286.39,14.06,Safe
Coral Point,24.16,30.3,4.69,0.85,10.01,8.08,6.8,40793.93,143.69,Moderate Risk
Blue Bay,21.19,24.63,8.55,1.18,11.45,7.52,8.26,42108.04,211.5,Moderate Risk
Silver Shore,21.35,24.42,7.05,0.25,5.03,7.46,7.6,47745.89,117.34,Moderate Risk
Blue Bay,18.39,20.34,4.14,0.64,5.58,7.79,6.82,52460.73,86.73,Safe
North Beach,31.0,38.69,7.54,0.49,4.07,6.98,7.48,31044.3,130.98,Moderate Risk
North Beach,19.02,19.57,4.12,0.26,4.89,7.52,8.78,39931.83,95.31,Safe
Silver Shore,21.23,28.83,0.81,0.47,6.23,7.55,6.52,40270.89,80.31,Safe
Silver Shore,21.13,25.63,5.27,1.12,6.82,7.28,7.68,32895.65,37.34,Safe
Coral Point,27.58,26.38,7.21,0.53,2.09,7.97,7.12,38846.78,79.13,Moderate Risk
Coral Point,22.82,26.92,10.27,0.45,2.55,7.23,7.71,44780.5,114.53,Moderate Risk
Blue Bay,28.99,25.69,2.13,0.81,9.28,7.55,6.41,40188.59,105.62,Safe
Silver Shore,21.31,26.18,1.24,1.2,7.4,7.7,7.33,31959.96,99.43,Safe
North Beach,25.12,30.77,5.91,0.2,2.3,8.07,8.53,60000.0,121.96,Safe
Coral Point,20.66,21.88,4.5,0.66,4.68,7.6,6.08,43730.16,112.23,Safe
Coral Point,32.58,35.95,4.22,0.38,20.39,7.93,5.6,42726.01,103.55,Moderate Risk
North Beach,19.25,28.11,7.61,0.53,0.2,7.85,5.65,34863.48,164.39,Moderate Risk
Coral Point,25.24,26.72,5.9,0.86,1.58,7.64,5.8,43694.59,153.5,Moderate Risk
Blue Bay,26.54,26.36,4.79,0.4,3.85,7.22,7.91,40932.61,54.41,Safe
Silver Shore,25.66,33.1,2.35,0.48,8.64,7.1,5.51,29724.6,105.79,Safe
North Beach,23.26,32.15,5.59,1.06,8.16,7.64,6.84,35043.34,111.22,Moderate Risk
Silver Shore,23.48,26.49,1.2,0.73,4.12,7.41,7.94,47167.02,77.75,Safe
Coral Point,24.18,30.21,4.11,0.47,16.07,7.92,7.7,54636.11,171.99,Moderate Risk
Coral Point,23.41,30.44,3.28,0.57,10.32,7.86,6.74,44386.58,184.49,Moderate Risk
North Beach,27.86,28.63,0.77,0.54,2.69,7.54,7.43,49170.04,87.08,Safe
Blue Bay,32.84,34.39,4.5,0.07,1.68,7.19,7.33,40987.59,92.86,Safe
Palm Coast,21.77,28.46,2.13,0.58,6.13,7.78,6.93,41437.45,73.61,Safe
North Beach,18.52,26.58,4.43,0.14,10.74,7.24,6.95,49091.36,120.28,Safe
Palm Coast,23.65,28.34,1.51,1.17,20.76,7.33,9.88,52808.05,187.93,Moderate Risk
Palm Coast,34.32,34.68,5.94,0.14,7.09,7.26,8.17,50457.13,113.44,Safe
Blue Bay,20.79,29.75,9.4,0.36,3.68,7.55,10.18,35068.64,107.6,Moderate Risk
Palm Coast,30.56,31.96,1.2,0.3,14.97,8.01,6.6,41564.77,45.39,Safe
Palm Coast,30.71,32.71,1.51,1.49,10.23,7.6,7.1,43803.91,128.25,Safe
Blue Bay,21.79,25.81,1.01,1.14,1.28,7.44,5.6,40312.09,77.62,Safe
Palm Coast,26.28,33.94,2.86,0.05,3.88,7.07,6.23,44521.07,52.23,Safe
Palm Coast,30.51,36.08,4.38,0.51,4.41,7.79,9.48,47333.75,134.49,Safe
Palm Coast,22.48,26.73,5.36,0.17,10.24,7.33,6.57,48518.26,106.34,Moderate Risk
North Beach,23.19,27.58,4.06,0.58,0.39,7.64,9.5,52958.16,78.65,Safe
North Beach,21.67,24.8,5.25,0.85,3.58,7.48,5.71,39858.63,109.1,Moderate Risk
North Beach,19.94,24.62,3.19,0.62,5.43,7.89,5.94,33133.78,81.13,Safe
Blue Bay,21.4,16.81,2.11,0.89,4.26,7.54,6.79,44328.52,92.68,Safe
Coral Point,19.1,21.21,1.54,0.41,19.1,7.58,7.12,54244.77,161.57,Safe
Palm Coast,24.14,27.86,2.94,0.64,12.38,7.77,8.31,38899.66,75.11,Safe
Palm Coast,20.92,20.47,1.58,0.86,12.36,8.34,7.74,46464.51,123.86,Safe
Blue Bay,24.94,29.09,4.29,0.35,3.3,7.91,6.7,46522.35,97.13,Safe
Palm Coast,17.78,20.16,1.6,0.23,6.28,7.57,7.04,43244.37,80.28,Safe
North Beach,25.32,33.59,2.3,0.29,2.04,7.6,6.82,42045.01,98.27,Safe
Coral Point,27.33,35.05,6.76,0.47,2.11,7.42,6.1,35997.71,113.06,Moderate Risk
Silver Shore,16.03,17.63,7.18,0.52,12.48,7.27,6.13,27169.2,168.18,Moderate Risk
Palm Coast,25.5,28.04,7.03,0.67,10.83,7.41,8.43,34772.97,172.21,Moderate Risk
North Beach,28.91,31.69,3.23,0.26,1.86,7.33,5.01,39463.02,57.44,Safe
Silver Shore,19.16,20.81,2.18,0.88,5.91,7.83,9.14,49133.25,101.06,Safe
Coral Point,30.69,34.28,4.75,1.74,0.77,7.23,6.79,41329.67,102.83,Moderate Risk
Silver Shore,25.68,26.4,1.63,0.3,8.52,8.07,6.27,38626.33,79.46,Safe
North Beach,21.18,20.79,5.54,2.41,1.81,7.86,8.09,36208.59,123.13,Moderate Risk
Silver Shore,23.78,28.65,2.02,1.9,5.93,7.61,8.98,46269.24,123.99,Safe
Blue Bay,26.23,31.12,2.85,0.52,20.27,7.6,8.54,50829.32,141.74,Moderate Risk
Silver Shore,24.3,24.89,5.62,0.45,1.53,7.4,7.8,48912.33,112.75,Safe
Palm Coast,26.16,31.84,0.58,0.28,7.33,7.69,8.5,45939.97,69.59,Safe
Palm Coast,20.32,21.42,2.09,0.98,5.15,7.98,5.14,32408.52,32.84,Safe
Blue Bay,24.68,28.44,4.36,0.55,1.37,7.35,6.57,39714.12,89.79,Safe
North Beach,18.35,23.81,5.01,0.59,2.47,7.06,6.11,54657.48,101.44,Safe
Palm Coast,23.56,26.45,4.47,0.23,7.89,7.85,8.67,49292.68,114.82,Safe
Coral Point,20.38,24.75,2.82,1.0,4.35,7.71,6.74,32006.23,72.41,Safe
Palm Coast,21.06,22.51,6.0,0.42,16.46,7.21,8.21,41638.66,110.72,Moderate Risk
Palm Coast,28.94,31.35,1.5,0.18,8.22,7.34,7.84,44360.14,101.63,Safe
North Beach,28.37,30.75,1.44,0.49,1.69,7.3,6.17,37045.97,52.89,Safe
Silver Shore,26.44,27.2,4.33,0.25,11.18,7.35,6.5,26990.17,122.45,Moderate Risk
Palm Coast,19.63,22.1,1.36,1.34,12.32,7.49,8.75,42642.36,103.35,Safe
Blue Bay,22.73,21.09,9.61,1.88,6.89,7.51,6.27,36879.57,178.52,Unsafe
Silver Shore,28.85,30.38,2.14,0.5,8.82,7.37,7.35,36905.03,77.51,Safe
Coral Point,24.57,26.71,5.92,1.12,6.8,7.33,6.26,39694.58,97.66,Moderate Risk
North Beach,33.28,35.51,1.15,1.1,14.58,7.52,6.82,41131.11,131.29,Safe
Coral Point,25.57,27.85,8.35,0.05,13.22,7.66,7.14,41940.96,134.87,Moderate Risk
Silver Shore,24.77,27.58,3.39,0.29,0.77,7.49,6.26,36254.07,79.07,Safe
Silver Shore,22.76,27.2,2.1,0.57,0.65,8.01,6.05,40568.64,80.64,Safe
Silver Shore,24.53,30.16,2.68,0.36,4.42,7.78,7.54,30576.75,59.99,Safe
Coral Point,23.39,24.44,1.83,0.27,10.62,7.04,6.19,44021.75,50.26,Safe
Silver Shore,26.83,26.22,2.84,1.15,14.16,7.78,6.23,23434.21,214.36,Moderate Risk
Coral Point,27.83,27.7,1.22,0.34,3.74,7.81,6.07,40118.31,46.38,Safe
Silver Shore,20.86,22.39,2.15,0.67,4.31,7.45,7.11,47974.71,102.9,Safe
Blue Bay,18.68,20.62,5.85,1.08,3.97,7.08,8.33,35114.29,188.44,Moderate Risk
Silver Shore,16.66,17.35,3.9,1.39,4.94,7.6,9.01,46656.8,139.65,Moderate Risk
Coral Point,26.03,25.14,1.47,0.18,6.19,7.6,6.33,49512.26,62.13,Safe
Palm Coast,19.59,21.22,2.92,0.2,3.33,7.21,9.78,20498.65,73.86,Safe
Silver Shore,15.39,18.93,7.23,0.61,3.96,7.09,5.99,41016.14,95.45,Moderate Risk
Palm Coast,25.55,30.34,2.35,0.05,7.57,7.57,8.5,23307.47,113.68,Safe
Blue Bay,33.97,35.3,1.34,0.21,1.16,7.52,6.33,41231.65,74.68,Safe
North Beach,23.98,25.74,4.89,1.24,21.78,7.45,6.15,41953.39,157.41,Moderate Risk
Blue Bay,27.35,27.57,0.35,0.83,10.38,7.57,6.31,25863.46,51.95,Safe
Silver Shore,24.33,27.23,2.72,0.47,15.9,7.21,7.14,54511.45,75.69,Safe
Palm Coast,23.6,24.06,7.64,0.74,1.96,7.45,7.9,43859.1,158.31,Moderate Risk
Palm Coast,27.68,32.4,2.86,0.88,2.84,7.79,8.0,36481.35,90.34,Safe
Coral Point,22.84,20.48,6.23,0.12,0.11,7.48,6.07,51524.97,101.2,Safe
Palm Coast,25.07,26.99,1.33,0.34,5.59,7.01,6.01,30328.51,43.2,Safe
Coral Point,25.29,29.19,2.77,1.36,5.75,7.43,6.1,34010.39,52.78,Safe
North Beach,21.33,24.88,2.58,0.62,6.9,7.23,7.07,27053.54,126.6,Safe
Silver Shore,27.97,39.05,4.71,0.65,0.57,7.69,6.95,53706.79,92.57,Safe
Coral Point,23.3,27.35,3.53,0.5,5.17,7.71,6.06,44160.25,125.08,Safe
North Beach,20.98,20.96,8.3,0.07,7.25,7.02,7.52,46286.11,122.16,Moderate Risk
Palm Coast,26.15,28.86,2.25,0.3,8.28,7.87,9.92,43956.51,80.5,Safe
Palm Coast,20.41,18.08,3.5,0.71,2.98,7.21,6.59,45729.49,114.34,Safe
North Beach,24.11,26.87,2.65,0.34,24.28,8.15,6.68,42507.51,173.29,Moderate Risk
Palm Coast,23.96,24.46,3.32,0.19,4.27,7.58,7.87,43760.99,110.75,Safe
North Beach,28.34,34.09,3.11,0.22,6.14,7.16,6.53,42699.42,77.42,Safe
Coral Point,25.9,27.25,1.62,1.38,3.79,7.2,8.0,38044.15,108.78,Safe
Coral Point,23.9,26.55,5.64,0.33,3.03,7.72,6.34,41696.94,140.77,Moderate Risk
North Beach,27.27,28.36,1.97,1.19,9.5,7.46,9.4,43778.36,102.86,Safe
Coral Point,29.56,37.78,1.86,0.65,0.62,7.57,7.61,42718.57,47.65,Safe
Coral Point,26.23,28.27,0.81,0.42,10.0,8.16,6.46,32394.48,130.89,Safe
Coral Point,24.04,32.54,2.2,0.25,6.0,7.36,6.49,33257.59,56.88,Safe
Blue Bay,18.75,24.2,1.95,0.85,4.5,7.62,6.58,49038.47,105.18,Safe
Silver Shore,19.74,24.19,0.44,1.09,1.27,8.1,8.85,40004.54,60.87,Safe
Palm Coast,22.78,26.89,2.84,0.91,5.55,7.69,5.68,45800.71,31.33,Safe
Blue Bay,21.56,25.74,8.06,0.14,9.42,7.04,6.4,34901.22,181.59,Moderate Risk
Coral Point,23.25,20.47,0.97,0.33,6.24,7.78,6.53,32424.55,1.0,Safe
North Beach,24.23,26.39,3.28,0.36,5.02,7.19,7.18,36516.62,18.65,Safe
Coral Point,26.12,31.65,2.78,0.05,4.2,8.09,6.87,40553.33,93.78,Safe
Silver Shore,23.72,26.57,5.15,0.74,3.4,7.31,5.41,37676.59,124.6,Moderate Risk
Coral Point,25.95,24.73,5.4,0.82,1.4,8.64,6.72,50410.57,80.8,Safe
North Beach,24.26,27.1,11.93,0.8,9.26,8.11,7.08,43166.9,193.41,Unsafe
Silver Shore,16.1,24.21,4.0,0.7,6.64,7.32,6.45,54018.1,17.59,Safe
Coral Point,20.24,26.98,1.75,0.39,9.77,7.61,8.02,44628.65,115.74,Safe
Silver Shore,23.42,26.24,2.15,0.24,3.34,7.86,8.3,26318.42,78.85,Safe
Palm Coast,19.16,25.02,2.33,0.39,4.52,7.87,7.11,48864.27,76.75,Safe
Palm Coast,26.4,28.3,2.02,0.66,1.3,7.75,7.48,32187.91,70.14,Safe
Coral Point,30.12,28.01,9.34,1.27,0.68,8.04,4.61,43498.47,161.56,Moderate Risk
Silver Shore,28.88,29.1,5.23,0.55,5.83,7.56,6.69,36964.55,110.76,Moderate Risk
North Beach,23.15,30.83,4.68,0.53,0.2,7.47,8.41,55927.62,21.83,Safe
Coral Point,29.96,32.14,1.38,0.06,7.3,7.48,6.69,51357.39,150.2,Safe
Palm Coast,24.59,26.86,5.37,0.69,2.87,7.9,6.32,37178.17,147.55,Moderate Risk
Palm Coast,22.65,24.75,6.88,1.34,27.55,7.73,9.93,41172.18,169.69,Moderate Risk
Coral Point,21.55,30.26,2.82,0.47,5.46,7.7,9.38,43589.89,75.33,Safe
Silver Shore,22.79,30.67,2.13,0.44,8.89,7.88,7.76,47612.19,84.05,Safe
Palm Coast,22.45,32.1,8.43,0.37,2.6,6.88,8.57,42189.49,164.13,Moderate Risk
Silver Shore,24.68,27.2,1.92,0.87,13.78,7.71,4.53,35338.18,39.19,Safe
Palm Coast,24.64,28.53,1.76,0.06,14.67,7.68,6.25,37335.87,84.26,Safe
Palm Coast,24.01,22.46,1.52,1.19,12.03,8.18,6.64,41970.87,49.47,Safe
Blue Bay,25.75,33.18,3.16,0.42,23.76,7.06,6.92,50023.97,141.86,Moderate Risk
Palm Coast,28.76,28.26,3.99,0.7,1.53,8.15,6.61,44780.95,72.25,Safe
North Beach,27.8,31.45,6.28,0.92,9.47,7.63,4.14,36972.8,143.12,Moderate Risk
Coral Point,18.06,17.77,4.83,0.22,2.31,7.77,7.66,46214.42,69.03,Safe
Coral Point,13.78,15.02,4.78,0.5,1.62,8.19,7.85,39484.6,66.31,Safe
Silver Shore,27.74,28.23,7.56,0.42,5.18,7.8,9.12,47787.65,149.83,Moderate Risk
Palm Coast,18.53,19.71,1.46,0.17,6.68,7.74,6.25,58425.57,89.79,Safe
North Beach,23.1,24.48,0.91,1.08,4.83,7.68,6.16,39667.63,98.45,Safe
Silver Shore,19.32,20.67,4.99,0.39,5.69,7.43,3.98,47210.43,100.02,Moderate Risk
Blue Bay,16.79,22.29,3.05,0.16,5.25,7.59,6.85,37154.94,63.21,Safe
Silver Shore,26.17,25.85,6.3,0.53,1.7,7.35,8.28,41270.29,102.87,Safe
Silver Shore,27.04,30.7,3.27,0.12,16.92,7.58,6.47,42192.15,141.56,Moderate Risk
Palm Coast,21.69,28.35,2.07,0.34,22.13,6.78,9.77,40741.06,58.95,Safe
Blue Bay,13.64,15.1,5.04,0.65,6.04,7.75,6.89,58009.59,126.34,Moderate Risk
Silver Shore,21.82,22.66,3.56,0.1,5.31,7.56,7.38,40007.15,97.79,Safe
North Beach,25.57,27.88,3.27,0.83,13.2,7.48,5.56,45814.54,126.4,Moderate Risk
North Beach,18.08,24.62,13.32,0.55,5.43,7.68,7.54,29454.44,178.09,Unsafe
Coral Point,24.73,28.32,7.19,0.93,4.79,7.1,4.82,44807.98,42.87,Moderate Risk
Blue Bay,23.94,25.35,5.47,0.92,9.61,8.28,8.03,49423.35,118.03,Moderate Risk
Blue Bay,26.32,30.77,3.64,0.33,27.81,7.56,8.07,38570.62,230.97,Moderate Risk
Coral Point,24.48,24.17,3.42,0.34,7.26,7.55,8.83,25683.56,97.12,Safe
Silver Shore,20.11,25.15,2.67,0.74,6.1,7.26,5.98,41748.76,82.35,Safe
Blue Bay,28.79,33.01,3.9,0.18,15.59,7.61,7.39,42111.7,127.05,Safe
North Beach,23.37,25.44,2.3,0.18,8.08,8.09,7.88,46706.49,98.87,Safe
North Beach,23.89,24.38,1.2,0.29,20.12,7.96,7.73,55070.87,142.59,Safe
Palm Coast,20.27,20.61,3.24,0.13,1.66,7.9,6.16,39529.65,64.08,Safe
Blue Bay,22.23,26.83,4.13,0.16,1.69,7.79,4.33,36434.13,95.6,Safe
Silver Shore,20.46,27.15,6.31,0.16,2.13,7.47,7.62,34415.03,160.64,Moderate Risk
Coral Point,23.31,24.4,1.77,0.39,11.38,7.09,7.02,43287.51,131.79,Safe
Coral Point,30.85,35.22,3.44,0.37,7.29,7.53,6.52,45115.8,179.42,Moderate Risk
Silver Shore,18.51,15.25,4.8,1.03,4.14,7.52,8.12,38453.24,87.84,Safe
Palm Coast,17.55,18.79,4.73,0.39,7.34,7.97,7.15,47061.44,168.32,Moderate Risk
Coral Point,29.88,32.79,9.05,0.47,12.8,7.71,5.62,45025.0,140.86,Moderate Risk
Blue Bay,23.16,23.43,2.71,1.65,3.92,8.16,4.88,42281.01,114.78,Moderate Risk
Palm Coast,21.32,21.51,1.65,0.05,10.27,8.02,5.85,36134.3,111.26,Safe
Blue Bay,28.16,29.16,3.61,0.6,3.44,7.44,10.07,38867.88,72.09,Safe
North Beach,21.58,25.45,2.81,0.42,0.74,6.97,8.07,26206.59,73.52,Safe
Palm Coast,31.3,33.74,2.46,0.65,5.44,8.08,7.43,43532.62,119.13,Safe
Coral Point,26.71,23.0,2.21,0.31,0.6,8.08,6.98,42171.22,37.65,Safe
Palm Coast,22.05,18.69,4.14,0.39,3.85,7.12,6.9,43225.11,150.84,Safe
Palm Coast,32.63,33.81,1.97,1.23,6.15,8.13,8.6,45278.07,47.38,Safe
Palm Coast,21.58,25.95,5.47,0.73,2.15,7.73,6.61,44507.84,172.62,Moderate Risk
Palm Coast,26.97,21.73,5.3,0.41,8.95,7.66,7.89,41282.51,155.52,Moderate Risk
Blue Bay,25.2,26.7,4.4,0.25,4.24,8.17,6.78,42316.34,90.34,Safe
North Beach,29.21,30.63,1.46,0.18,9.19,8.07,9.53,32871.94,68.57,Safe
Silver Shore,30.25,37.41,4.01,0.33,5.26,7.83,8.09,38205.82,77.17,Safe
Palm Coast,24.13,25.97,6.58,0.44,4.38,7.77,8.69,42328.06,112.31,Moderate Risk
Coral Point,20.99,25.14,5.72,1.65,2.17,7.82,6.5,37216.95,121.85,Moderate Risk
Palm Coast,25.84,29.26,5.21,0.57,5.51,7.46,8.47,47590.98,154.78,Moderate Risk
Coral Point,21.29,17.9,3.41,0.28,6.2,7.58,6.82,37718.89,160.68,Safe
Blue Bay,32.05,37.36,3.3,0.05,7.44,7.28,7.33,43405.99,97.89,Safe
Coral Point,24.55,28.19,7.27,0.24,6.82,7.48,9.16,42757.68,98.38,Moderate Risk
Silver Shore,22.54,27.06,4.09,0.33,1.07,7.47,5.95,46850.8,62.32,Safe
North Beach,24.74,39.52,4.13,0.61,12.36,7.38,7.44,47855.14,118.78,Moderate Risk
Coral Point,18.61,15.36,15.71,0.34,7.68,7.65,7.73,46511.21,172.59,Unsafe
Coral Point,20.11,28.29,2.66,1.7,5.65,7.49,7.82,28310.96,67.54,Safe
North Beach,28.8,30.94,0.4,0.42,7.37,7.78,6.66,49761.96,144.5,Safe
Silver Shore,21.37,25.23,2.96,1.05,8.64,7.03,9.7,51927.5,120.57,Safe
Palm Coast,19.81,22.68,3.09,0.09,22.88,7.56,5.65,38866.19,113.07,Moderate Risk
Coral Point,26.15,27.87,4.05,0.48,2.98,7.65,8.95,43538.2,118.88,Safe
North Beach,28.74,30.03,4.7,0.25,3.07,7.49,8.66,36209.59,50.96,Safe
Blue Bay,26.88,30.86,0.48,1.08,1.54,7.54,9.48,29335.54,25.59,Safe
North Beach,27.98,26.43,4.77,0.36,0.35,7.05,5.29,37198.35,57.47,Safe
Blue Bay,20.97,26.22,3.22,1.25,7.85,7.72,6.16,38489.1,171.18,Moderate Risk
Silver Shore,18.31,20.06,2.75,0.82,23.59,7.83,8.99,39693.47,145.94,Moderate Risk
Palm Coast,30.01,29.62,0.77,0.32,4.05,7.77,4.95,35767.06,1.0,Safe
North Beach,22.71,24.36,8.23,0.18,14.57,7.96,5.27,37232.74,204.24,Moderate Risk
Coral Point,23.0,29.77,2.43,0.26,4.11,7.67,6.61,41928.46,64.82,Safe
Silver Shore,29.31,30.71,5.26,0.39,14.03,7.77,7.43,36993.52,72.33,Safe
North Beach,26.22,30.3,1.75,0.82,7.32,7.65,9.11,45532.91,79.23,Safe
Coral Point,25.82,26.63,4.17,0.5,5.56,7.84,6.98,46430.79,118.64,Safe
North Beach,32.66,37.93,2.79,0.93,3.02,7.05,6.47,57472.52,101.23,Safe
Blue Bay,21.43,26.48,5.15,1.32,5.83,7.29,7.57,49316.92,187.95,Moderate Risk
North Beach,27.71,36.26,2.72,0.52,11.19,8.16,7.76,43580.17,77.0,Safe
North Beach,24.23,26.7,1.68,0.2,2.61,6.74,7.73,37968.28,64.22,Safe
North Beach,25.07,30.08,3.33,0.67,5.01,7.55,6.99,43909.36,69.6,Safe
Silver Shore,30.11,33.41,3.21,1.83,6.53,8.01,4.85,44122.87,65.04,Moderate Risk
North Beach,26.03,32.92,3.99,0.97,10.88,7.57,6.1,38663.46,156.32,Moderate Risk
Coral Point,26.15,27.0,6.18,0.63,5.98,7.46,8.9,47094.25,138.6,Moderate Risk
Blue Bay,28.29,33.53,1.38,0.23,4.15,7.65,7.42,32912.36,75.56,Safe
Blue Bay,22.54,24.96,5.98,0.43,6.92,7.48,6.81,40411.4,135.01,Moderate Risk
North Beach,20.64,23.45,1.21,0.1,13.76,7.61,8.54,45613.08,70.43,Safe
Silver Shore,19.82,23.1,5.02,0.17,8.05,7.36,5.84,40130.7,75.4,Safe
Silver Shore,16.13,19.89,5.13,0.68,5.14,7.99,6.93,40656.1,112.22,Moderate Risk
Coral Point,32.22,34.88,2.33,0.07,5.73,8.1,7.37,41104.39,117.47,Safe
North Beach,19.59,23.23,1.82,0.38,1.65,7.55,6.67,36568.59,120.04,Safe
Blue Bay,23.11,30.85,1.74,0.15,10.14,7.11,7.32,49630.36,115.69,Safe
Silver Shore,22.89,28.85,3.55,0.18,1.12,7.42,6.97,35382.76,74.94,Safe
North Beach,25.23,30.84,5.34,0.53,3.51,7.54,5.52,44068.04,113.93,Moderate Risk
Silver Shore,27.26,28.9,3.02,0.26,4.57,7.78,7.42,44688.71,82.85,Safe
Silver Shore,27.44,27.77,0.35,0.12,3.5,7.25,5.61,35833.96,16.25,Safe
Blue Bay,21.67,27.53,2.22,0.31,1.76,7.33,7.4,42475.18,67.38,Safe
Palm Coast,23.33,28.96,2.16,0.11,2.68,7.78,8.85,36087.39,18.87,Safe
Coral Point,25.13,32.55,4.68,1.2,1.02,7.93,6.86,51041.78,97.89,Safe
Coral Point,23.01,24.19,4.84,0.85,3.11,7.38,5.79,34597.91,161.74,Moderate Risk
Blue Bay,30.43,32.74,3.74,0.85,2.79,7.13,7.05,37749.67,122.22,Safe
Silver Shore,25.96,24.05,5.99,0.24,23.51,8.75,6.2,34042.54,140.78,Moderate Risk
North Beach,26.94,28.76,6.28,0.7,0.68,7.87,7.91,33174.96,103.86,Moderate Risk
Silver Shore,26.65,32.64,2.32,0.59,8.85,7.51,7.02,52342.9,67.36,Safe
Blue Bay,28.69,30.29,1.71,0.26,5.61,7.9,9.25,45528.04,71.87,Safe
Coral Point,24.72,29.65,3.18,0.47,1.79,7.56,8.6,42911.91,114.6,Safe
Silver Shore,18.81,21.24,3.73,0.09,6.0,7.9,7.02,37732.25,113.55,Safe
Coral Point,25.6,29.57,2.23,0.18,20.54,7.66,8.06,47899.48,215.18,Moderate Risk
North Beach,21.39,20.95,18.03,0.46,8.78,7.63,6.73,36642.55,277.15,Unsafe
Coral Point,21.89,25.14,7.94,0.33,7.83,7.56,7.24,47158.66,146.06,Moderate Risk
Coral Point,26.35,20.37,2.08,0.65,1.26,7.09,6.77,36328.68,93.44,Safe
Palm Coast,28.95,31.39,1.43,0.26,2.19,8.28,8.12,37810.7,52.94,Safe
Palm Coast,24.09,22.19,1.95,0.37,0.77,7.27,8.92,46928.84,22.34,Safe
Palm Coast,25.24,31.85,6.35,0.49,5.79,7.12,8.16,47614.88,166.37,Moderate Risk
Coral Point,30.81,36.14,6.44,0.24,5.56,7.53,8.31,45883.57,151.57,Moderate Risk
Blue Bay,24.96,29.36,8.0,0.36,2.2,7.26,8.31,35177.12,112.6,Moderate Risk
Coral Point,34.41,41.97,1.67,0.59,11.23,7.58,7.86,39096.28,108.35,Safe
Blue Bay,26.26,26.42,4.67,1.44,1.14,7.84,5.83,43019.84,150.34,Moderate Risk
Blue Bay,16.96,25.2,1.8,0.24,2.42,7.95,9.24,36479.67,93.38,Safe
Palm Coast,27.01,32.81,9.08,0.33,5.97,7.89,9.37,50911.26,91.67,Moderate Risk
Silver Shore,25.52,27.81,1.72,0.96,1.36,7.49,6.92,26387.34,80.91,Safe
North Beach,29.16,35.57,1.16,1.14,3.95,7.62,6.76,36938.19,73.51,Safe
Palm Coast,26.69,26.37,1.36,0.75,2.63,7.74,7.93,38687.82,108.68,Safe
Palm Coast,23.45,23.97,3.34,1.12,6.8,6.98,7.86,23514.37,144.32,Moderate Risk
Silver Shore,19.1,20.28,5.29,0.23,1.0,7.8,6.96,32924.51,136.36,Safe
North Beach,23.16,24.58,5.07,1.04,1.29,7.09,5.7,46064.38,64.66,Safe
Coral Point,20.6,20.43,1.41,0.87,11.38,8.31,7.57,42196.84,74.69,Safe
Coral Point,21.68,28.35,2.52,0.17,10.7,7.46,7.86,52225.38,136.24,Safe
Palm Coast,26.35,28.58,2.28,0.37,1.9,7.54,8.07,52043.97,48.04,Safe
North Beach,30.68,34.74,1.25,0.05,5.0,7.33,7.62,44814.8,10.88,Safe
Palm Coast,25.58,26.87,2.24,0.55,5.43,7.38,6.87,44036.05,102.19,Safe
Blue Bay,19.22,16.75,7.79,1.03,0.93,8.4,8.39,42428.55,107.57,Moderate Risk
Palm Coast,25.78,29.59,1.1,0.31,2.7,7.93,7.28,24741.97,122.38,Safe
Palm Coast,28.79,26.05,3.91,0.2,4.36,7.06,6.64,32935.36,98.9,Safe
Coral Point,21.56,24.35,7.9,0.18,0.15,8.13,6.98,42654.39,115.48,Moderate Risk
Coral Point,23.46,22.36,7.65,0.49,5.94,8.02,5.1,46004.17,119.87,Moderate Risk
Coral Point,24.06,33.02,9.34,0.75,8.21,7.5,6.98,43882.85,216.05,Moderate Risk
Blue Bay,20.86,26.59,4.17,1.46,6.54,7.71,8.03,36198.98,133.66,Moderate Risk
Coral Point,26.59,29.91,4.58,0.05,9.9,7.59,7.61,48093.14,96.52,Safe
North Beach,23.52,30.31,2.27,1.34,7.85,8.29,9.02,51635.89,78.52,Safe
Silver Shore,25.68,26.14,1.08,0.58,11.17,7.32,6.88,48096.93,90.49,Safe
North Beach,20.45,25.08,3.02,0.99,0.29,7.65,7.78,48432.4,46.81,Safe
North Beach,22.25,25.85,6.84,0.84,3.57,7.45,8.15,38365.03,159.8,Moderate Risk
Coral Point,26.89,30.68,0.34,0.51,1.66,7.1,10.01,48993.57,1.0,Safe
Silver Shore,22.51,29.33,2.35,0.5,0.31,8.37,7.37,42947.43,61.25,Safe
Silver Shore,30.91,36.11,4.88,0.67,4.63,7.19,5.95,45325.11,128.07,Moderate Risk
Silver Shore,22.4,26.27,3.37,0.4,11.67,7.68,8.22,44375.31,124.15,Safe
Blue Bay,24.9,22.93,7.38,0.43,2.83,6.99,9.44,41210.33,93.67,Safe
Coral Point,27.73,27.85,6.4,0.77,7.2,7.46,6.81,36409.98,154.14,Moderate Risk
